price_id,product_id,price,effective_date,end_date,change_reason
1,1,32.69,2025-01-01,,competitive_adjustment
2,2,13.75,2025-01-01,,supplier_cost_increase
3,3,34.48,2025-01-01,2025-03-15,annual_review
4,3,29.69,2025-03-16,2025-11-28,supplier_cost_increase
5,3,27.51,2025-11-29,,supplier_cost_increase
6,4,28.94,2025-01-01,2026-01-24,annual_review
7,4,26.83,2026-01-25,,competitive_adjustment
8,5,40.85,2025-01-01,,seasonal_promotion
9,6,35.51,2025-01-01,,seasonal_promotion
10,7,12.34,2025-01-01,2025-03-23,supplier_cost_increase
11,7,12.13,2025-03-24,,competitive_adjustment
12,8,42.68,2025-01-01,2026-03-19,supplier_cost_increase
13,8,47.18,2026-03-20,,supplier_cost_increase
14,9,48.71,2025-01-01,,competitive_adjustment
15,10,41.81,2025-01-01,2026-04-16,competitive_adjustment
16,10,43.99,2026-04-17,,supplier_cost_increase
17,11,4.2,2025-01-01,,competitive_adjustment
18,12,49.29,2025-01-01,2025-03-22,annual_review
19,12,46.69,2025-03-23,2026-04-18,competitive_adjustment
20,12,42.34,2026-04-19,,competitive_adjustment
21,13,12.06,2025-01-01,,supplier_cost_increase
22,14,31.24,2025-01-01,,seasonal_promotion
23,15,9.84,2025-01-01,,seasonal_promotion
24,16,34.86,2025-01-01,2025-02-27,seasonal_promotion
25,16,39.66,2025-02-28,2026-03-03,competitive_adjustment
26,16,39.28,2026-03-04,,supplier_cost_increase
27,17,12.13,2025-01-01,2026-02-01,competitive_adjustment
28,17,11.21,2026-02-02,2026-04-23,annual_review
29,17,11.08,2026-04-24,,annual_review
30,18,8.86,2025-01-01,,competitive_adjustment
31,19,37.86,2025-01-01,2025-11-24,annual_review
32,19,36.98,2025-11-25,,seasonal_promotion
33,20,26.46,2025-01-01,,supplier_cost_increase
34,21,43.33,2025-01-01,,seasonal_promotion
35,22,40.02,2025-01-01,2025-03-03,annual_review
36,22,39.36,2025-03-04,,annual_review
37,23,27.4,2025-01-01,2025-02-04,supplier_cost_increase
38,23,29.83,2025-02-05,2026-04-15,competitive_adjustment
39,23,33.38,2026-04-16,,competitive_adjustment
40,24,7.35,2025-01-01,2025-09-19,supplier_cost_increase
41,24,8.7,2025-09-20,,competitive_adjustment
42,25,48.65,2025-01-01,2025-10-16,supplier_cost_increase
43,25,56.18,2025-10-17,,competitive_adjustment
44,26,42.4,2025-01-01,2025-05-11,seasonal_promotion
45,26,41.59,2025-05-12,,seasonal_promotion
46,27,27.89,2025-01-01,2025-10-28,supplier_cost_increase
47,27,29.55,2025-10-29,,annual_review
48,28,2.93,2025-01-01,2026-03-31,competitive_adjustment
49,28,2.74,2026-04-01,2026-04-24,seasonal_promotion
50,28,3.17,2026-04-25,,supplier_cost_increase
51,29,6.11,2025-01-01,2025-03-06,seasonal_promotion
52,29,5.47,2025-03-07,,annual_review
53,30,47.45,2025-01-01,,annual_review
54,31,48.29,2025-01-01,2026-02-07,seasonal_promotion
55,31,53.1,2026-02-08,2026-02-20,annual_review
56,31,63.63,2026-02-21,,competitive_adjustment
57,32,23.03,2025-01-01,2025-04-01,seasonal_promotion
58,32,21.39,2025-04-02,,competitive_adjustment
59,33,3.01,2025-01-01,2025-11-27,seasonal_promotion
60,33,2.57,2025-11-28,,supplier_cost_increase
61,34,12.99,2025-01-01,2025-07-18,supplier_cost_increase
62,34,13.38,2025-07-19,2026-04-15,competitive_adjustment
63,34,14.51,2026-04-16,,seasonal_promotion
64,35,27.88,2025-01-01,2026-04-26,annual_review
65,35,26.07,2026-04-27,,annual_review
66,36,40.76,2025-01-01,,supplier_cost_increase
67,37,33.63,2025-01-01,,annual_review
68,38,24.42,2025-01-01,2026-01-09,supplier_cost_increase
69,38,21.28,2026-01-10,,competitive_adjustment
70,39,40.43,2025-01-01,,seasonal_promotion
71,40,11.13,2025-01-01,2025-09-03,seasonal_promotion
72,40,10.55,2025-09-04,,seasonal_promotion
73,41,43.98,2025-01-01,,supplier_cost_increase
74,42,4.43,2025-01-01,2025-02-06,supplier_cost_increase
75,42,5.2,2025-02-07,2026-04-03,seasonal_promotion
76,42,4.72,2026-04-04,,annual_review
77,43,25.11,2025-01-01,2025-03-01,annual_review
78,43,21.36,2025-03-02,2025-04-24,annual_review
79,43,20.14,2025-04-25,,annual_review
80,44,15.69,2025-01-01,2026-02-08,annual_review
81,44,14.19,2026-02-09,,competitive_adjustment
82,45,12.45,2025-01-01,,supplier_cost_increase
83,46,37.9,2025-01-01,,annual_review
84,47,26.14,2025-01-01,2025-02-28,supplier_cost_increase
85,47,30.01,2025-03-01,2025-04-20,supplier_cost_increase
86,47,31.76,2025-04-21,,seasonal_promotion
